,price,m2,age,floor,total_room,district_encoded,neighbor_encoded
4140,3850000,88,5,1.0,3,6559200.238609113,4988341.164705883
4141,15500000,125,1,5.0,4,18766793.31306991,11202090.0
4142,11500000,275,11,4.0,7,5848907.837837838,6853333.333333333
4144,10500000,145,28,3.0,4,6559200.238609113,12699506.787330316
4145,4600000,120,30,4.0,4,8397364.775800712,3658924.0506329113
4146,6150000,100,31,4.0,3,7962301.739130435,7948520.599250936
4147,7250000,85,4,1.0,3,8397364.775800712,11233333.333333334
4149,12250000,77,4,1.0,2,20111125.68306011,28284615.384615384
4150,3060000,90,5,0.0,3,4970295.55403868,5269146.553333334
4151,5950000,75,6,0.5,3,7962301.739130435,9074265.306122448
4152,21300000,127,0,5.0,3,20111125.68306011,20641170.21276596
4153,4100000,109,10,2.0,2,4059405.832635984,3746428.5714285714
4154,4600000,95,4,4.0,3,9683732.91925466,5826067.567567567
4155,2550000,95,21,2.0,3,5367273.031914894,4706222.804347826
4156,8250000,160,7,3.0,5,5547095.228571429,6063035.714285715
4157,4750000,140,0,3.0,4,3987994.5945945946,4813397.435897436
4158,7500000,160,0,4.0,6,5547095.228571429,5675000.0
4159,2800000,100,26,1.0,3,5478152.10355987,6994235.820895523
4160,3150000,130,26,1.0,4,7962301.739130435,5226666.666666667
4161,40000000,240,8,4.0,5,18840772.21851852,25311428.57142857
4162,2700000,80,0,0.5,3,5297494.923337092,4769333.333333333
4163,5750000,100,30,1.0,3,18766793.31306991,9520094.33962264
4164,21900000,230,0,9.0,7,18766793.31306991,20307026.315789472
4166,2480000,85,10,13.0,2,4970295.55403868,4676827.383297645
4167,2350000,75,5,0.0,3,5297494.923337092,4442812.5
4168,8150000,150,37,2.0,4,7962301.739130435,9986363.636363637
4171,4400000,105,40,0.5,3,4254808.612440191,4063465.3465346536
4172,3200000,120,32,5.0,3,4547597.902097902,6994235.820895523
4173,7250000,80,0,0.0,3,7962301.739130435,9215404.624277456
4175,4850000,140,6,2.0,4,4970295.55403868,4896611.111111111
4176,2000000,75,29,4.0,3,10309326.797385622,4020238.095238095
4177,2450000,100,6,1.0,3,2769582.4657534244,2831272.727272727
4178,6200000,100,5,8.0,3,7437451.282051282,6662500.0
4179,5650000,90,0,0.0,3,6106125.056426332,8019684.777173913
4180,13000000,145,0,4.0,5,7962301.739130435,7841056.338028169
