price,m2,age,floor,district,neighbor,total_room
2835000,96,14,20.0,Esenyurt,Yeşilkent Mah.,3
8590000,95,0,4.0,Maltepe,Çınar Mah.,3
6190000,130,35,1.0,Şişli,Merkez Mah.,4
4350000,127,12,3.0,Esenyurt,Saadetdere Mah.,4
2298000,110,8,3.0,Başakşehir,Bahçeşehir 2. Kısım Mah.,3
7750000,130,31,6.0,Kadıköy,Dumlupınar Mah.,4
9900000,80,0,1.0,Maltepe,Altıntepe Mah.,3
11500000,130,13,4.0,Ümraniye,Elmalıkent Mah.,4
4500000,85,3,1.0,Gaziosmanpaşa,Sarıgöl Mah.,3
9050000,106,4,6.0,Bakırköy,Ataköy 7-8-9-10. Kısım Mah.,2
4750000,60,0,0.0,Maltepe,Küçükyalı Mah.,2
2399000,90,1,1.0,Beylikdüzü,Adnan Kahveci Mah.,2
11000000,101,1,2.0,Maltepe,Yalı Mah.,2
24500000,175,31,11.0,Kadıköy,Caddebostan Mah.,5
2950000,150,0,3.0,Esenyurt,Ardıçlı Mah.,4
12000000,240,10,0.0,Büyükçekmece,Atatürk Mah.,6
4550000,80,16,3.0,Ümraniye,İnkılap Mah.,3
9400000,175,16,3.0,Başakşehir,Bahçeşehir 2. Kısım Mah.,4
18000000,140,8,4.0,Beyoğlu,Kocatepe Mah.,3
5950000,120,0,3.0,Esenler,Nine Hatun Mah.,4
2030000,105,0,0.0,Esenyurt,Akşemseddin Mah.,3
1435000,80,0,3.0,Beylikdüzü,Cumhuriyet Mah.,2
6200000,85,0,1.0,Üsküdar,Burhaniye Mah.,3
23900000,300,18,9.0,Kadıköy,Feneryolu Mah.,7
39950000,230,19,1.0,Kadıköy,Suadiye Mah.,5
17950000,130,7,1.0,Kadıköy,Suadiye Mah.,4
5750000,140,0,5.0,Küçükçekmece,Cumhuriyet Mah.,4
5150000,140,16,0.5,Eyüpsultan,Rami Cuma Mah.,4
20950000,135,8,10.0,Kadıköy,Suadiye Mah.,4
39950000,260,23,1.0,Kadıköy,Bostancı Mah.,5
6675000,150,16,4.0,Pendik,Harmandere Mah.,4
12000000,160,31,5.0,Kadıköy,Erenköy Mah.,4
18250000,130,7,10.0,Kadıköy,Suadiye Mah.,4
9250000,83,5,12.0,Ümraniye,Finanskent Mah.,2
1799999,105,4,2.0,Esenyurt,Yeşilkent Mah.,3
2575000,115,30,4.0,Kartal,Hürriyet Mah.,4
13150000,116,0,4.0,Kadıköy,Merdivenköy Mah.,4
11950000,75,0,6.0,Kadıköy,Erenköy Mah.,3
9250000,90,0,3.0,Maltepe,Altıntepe Mah.,3
6100000,90,15,3.0,Üsküdar,Zeynep Kamil Mah.,3
18850000,105,0,7.0,Kadıköy,Suadiye Mah.,3
15350000,100,0,2.0,Kadıköy,Suadiye Mah.,3
2800000,145,30,12.0,Bağcılar,Çınar Mah.,4
5000000,200,0,5.0,Silivri,Sancaktepe Mah.,5
1500000,80,29,5.0,Kağıthane,Yeşilce Mah.,2
3000000,60,40,0.0,Beşiktaş,Türkali Mah.,2
6500000,270,16,9.0,Sarıyer,Ayazağa Mah.,5
6500000,198,8,9.0,Esenyurt,Cumhuriyet Mah.,3
2600000,85,25,0.0,Beyoğlu,Yenişehir Mah.,6
2985000,105,7,1.0,Silivri,Mimar Sinan Mah.,3
3950000,90,0,0.5,Kağıthane,Seyrantepe Mah.,3
5300000,87,0,2.0,Pendik,Yenişehir Mah.,3
8300000,90,0,3.0,Maltepe,İdealtepe Mah.,3
1400000,60,20,0.0,Kağıthane,Şirintepe Mah.,2
5750000,85,10,1.0,Ümraniye,Armağanevler Mah.,3
7550000,84,5,3.0,Maltepe,Çınar Mah.,3
5950000,70,0,0.0,Maltepe,Altıntepe Mah.,3
18250000,130,8,10.0,Kadıköy,Suadiye Mah.,4
11750000,190,34,4.0,Maltepe,Küçükyalı Mah.,5
1325000,55,13,3.0,Esenyurt,Zafer Mah.,3
23000000,150,0,7.0,Kadıköy,Erenköy Mah.,4
3300000,75,53,2.0,Küçükçekmece,Gültepe Mah.,3
1750000,80,35,0.0,Güngören,Merkez Mah.,3
6200000,150,0,6.0,Sultanbeyli,Mecidiye Mah.,6
6100000,180,8,3.0,Esenyurt,Cumhuriyet Mah.,4
3200000,170,30,5.0,Küçükçekmece,Cumhuriyet Mah.,4
1420000,65,10,-0.5,Esenyurt,Bağlarçeşme Mah.,4
5800000,90,10,2.0,Kağıthane,Seyrantepe Mah.,3
6500000,90,0,2.0,Ataşehir,İçerenköy Mah.,3
1800000,110,35,2.0,Avcılar,Ambarlı Mah.,4
3200000,60,0,0.0,Bahçelievler,Cumhuriyet Mah.,2
2750000,90,15,0.5,Bağcılar,Merkez Mah.,3
39000000,170,4,3.0,Beşiktaş,Yıldız Mah.,4
2750000,78,45,3.0,Fatih,Silivrikapı Mah.,3
10800000,70,0,1.0,Beşiktaş,Gayrettepe Mah.,3
3250000,115,2,4.0,Beylikdüzü,Beylikdüzü OSB Mah.,3
9400000,220,8,3.0,Küçükçekmece,Sultan Murat Mah.,6
12500000,77,4,1.0,Kadıköy,19 Mayıs Mah.,3
3650000,90,2,4.0,Silivri,Alipaşa Mah.,3
10000000,145,0,12.0,Üsküdar,Cumhuriyet Mah.,6
2950000,95,5,0.5,Sancaktepe,İnönü Mah.,3
34000000,193,35,3.0,Sarıyer,Yeniköy Mah.,4
4390000,80,0,3.0,Bahçelievler,Şirinevler Mah.,3
7650000,85,12,3.0,Maltepe,Çınar Mah.,3
7000000,108,16,1.0,Şişli,Esentepe Mah.,3
16500000,140,12,9.0,Bakırköy,Osmaniye Mah.,4
6500000,145,6,1.0,Küçükçekmece,Cennet Mah.,4
17950000,90,5,1.0,Kadıköy,Suadiye Mah.,3
7300000,142,4,4.0,Kağıthane,Sultan Selim Mah.,4
4100000,60,0,0.5,Maltepe,Zümrütevler Mah.,2
18000000,230,0,4.0,Maltepe,Çınar Mah.,6
7500000,90,0,2.0,Maltepe,Altıntepe Mah.,3
10750000,250,27,4.0,Maltepe,Altıntepe Mah.,5
9800000,120,0,3.0,Maltepe,Küçükyalı Mah.,4
3350000,85,6,3.0,Başakşehir,Bahçeşehir 2. Kısım Mah.,2
31250000,250,6,0.0,Üsküdar,Acıbadem Mah.,6
5105000,98,1,4.0,Büyükçekmece,Murat Çeşme Mah.,3
14250000,138,14,24.0,Ataşehir,Atatürk Mah.,3
5750000,90,2,4.0,Kartal,Petroliş Mah.,3
4250000,90,0,0.5,Bayrampaşa,Altıntepsi Mah.,3
6189000,180,20,12.0,Beylikdüzü,Adnan Kahveci Mah.,4
25750000,250,8,12.0,Kadıköy,Erenköy Mah.,5
9900000,320,12,9.0,Beylikdüzü,Adnan Kahveci Mah.,7
33600000,140,12,4.0,Beşiktaş,Mecidiye Mah.,4
1450000,85,5,3.0,Esenyurt,Yeşilkent Mah.,2
11300000,130,0,5.0,Şişli,19 Mayıs Mah.,3
39700000,254,16,2.0,Eyüpsultan,Göktürk Merkez Mah.,5
4150000,90,12,0.5,Ataşehir,İçerenköy Mah.,3
7750000,95,0,4.0,Maltepe,İdealtepe Mah.,3
12555000,115,6,0.5,Şişli,Duatepe Mah.,4
6750000,130,41,3.0,Kadıköy,Sahrayı Cedit Mah.,4
4275000,95,30,3.0,Şişli,Gülbahar Mah.,3
4200000,128,12,12.0,Pendik,Yayalar Mah.,4
27500000,120,7,1.0,Şişli,Teşvikiye Mah.,3
7200000,75,4,2.0,Maltepe,Altayçeşme Mah.,3
2850000,55,10,0.5,Kağıthane,Şirintepe Mah.,2
5110000,150,7,1.0,Ümraniye,İstiklal Mah.,5
8250000,150,30,2.0,Şişli,Meşrutiyet Mah.,4
27950000,150,12,6.0,Kadıköy,Erenköy Mah.,4
8590000,125,0,4.0,Maltepe,Çınar Mah.,3
